"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NKG7",1.01871773192845e-69,-3.81240866012167,0.197,0.524,3.72860877063131e-65
"CD83",5.27219139860912e-61,0.63983218230707,0.961,0.684,1.92967477380492e-56
"RPS23",7.23739382426899e-61,0.251699839580064,1,0.999,2.64895851362069e-56
"BANK1",6.79250183061042e-60,0.539418955347802,0.992,0.46,2.48612359502172e-55
"RALGPS2",5.17883438693292e-58,0.578213579795104,0.913,0.489,1.89550517396132e-53
"GZMH",2.04725430243525e-56,-6.09375862396973,0.017,0.306,7.49315547234325e-52
"LINC00926",2.36691909070518e-54,0.655050794044786,0.807,0.388,8.66316056389001e-50
"NIBAN3",3.14070392315405e-54,0.773291247302902,0.715,0.335,1.14952904291361e-49
"AFF3",1.6470793698902e-52,0.572951460192868,0.884,0.479,6.0284752017351e-48
"PFN1",2.18770843422883e-52,-0.544160706904167,1,1,8.00723164012094e-48
"CST7",4.01562216829938e-52,-2.36209340253948,0.288,0.544,1.46975786981926e-47
"CD37",8.34448728207572e-52,0.375147459482462,1,0.995,3.05416579011253e-47
"ARHGAP24",1.48833926252543e-51,0.654207204793583,0.798,0.399,5.44747053476933e-47
"MS4A1",2.17764616005141e-50,0.354276465805181,0.993,0.476,7.97040271040418e-46
"TNFRSF13C",3.06886381016533e-49,0.657286538403204,0.793,0.409,1.12323484315861e-44
"ADAM28",3.28262977531386e-49,0.761710947525052,0.687,0.336,1.20147532406263e-44
"PRF1",4.95883178520875e-49,-3.21274559401016,0.093,0.375,1.81498202170425e-44
"HLA-DQB1",2.69625815860299e-45,0.381369259402407,0.984,0.631,9.8685744863028e-41
"GZMA",5.73062536241706e-45,-2.13224693698694,0.223,0.49,2.09746618889827e-40
"JUND",1.06161906492368e-44,0.425038328047569,1,0.999,3.88563193952716e-40
"VPREB3",1.53348293958826e-44,1.07377224643235,0.498,0.216,5.61270090718698e-40
"GNG7",5.28622639879047e-44,0.547865941877903,0.828,0.436,1.9348117242213e-39
"AOAH",5.72244724782486e-44,-2.55951896651493,0.111,0.381,2.09447291717638e-39
"GZMB",9.39634472721502e-44,-6.02559375756121,0.013,0.247,3.43915613360797e-39
"KLRD1",1.08859380186534e-43,-3.43905709574634,0.048,0.299,3.98436217420734e-39
"CD8A",2.07813521006994e-43,-1.87503387034958,0.205,0.477,7.60618268237699e-39
"RPL11",1.55482825082297e-42,0.204510700548444,1,1,5.69082688083715e-38
"RPL8",4.50153572108794e-41,0.211082344183529,1,1,1.6476070892754e-36
"CCL5",4.75654304259284e-41,-1.7409534187717,0.371,0.593,1.74094231901941e-36
"FGFBP2",5.79562329110053e-41,-5.69481467398356,0.013,0.235,2.12125608077571e-36
"RPS5",6.80798355340783e-41,0.216287936803478,1,0.999,2.4917900603828e-36
"RPS8",7.07929890265535e-41,0.213849217908613,1,1,2.59109419136088e-36
"CFL1",2.56460506694812e-40,-0.420642351381983,1,0.998,9.38671100553683e-36
"RPL9",3.44418852346689e-40,0.249714680633784,1,0.998,1.26060744147412e-35
"CD79A",5.79855364135805e-40,0.374021450859763,0.994,0.504,2.12232861827346e-35
"TMSB4X",1.01916454873584e-39,-0.376040629194698,1,1,3.73024416482804e-35
"FCRL6",1.72222964057075e-39,-3.82274803642066,0.021,0.244,6.30353270745302e-35
"HLA-DQA1",3.72205335966513e-39,0.15935839445805,0.982,0.541,1.36230875017103e-34
"CCSER1",6.3747159861472e-39,1.20644692765203,0.408,0.173,2.33320979808974e-34
"RPL32",2.24035662081767e-38,0.205875064758923,1,1,8.19992926785477e-34
"CCL4",5.15567792383833e-38,-4.15616086420538,0.028,0.249,1.88702967690407e-33
"BLK",9.81839587510482e-38,0.33451190494197,0.832,0.447,3.59363107424711e-33
"ALOX5",3.01815018429358e-37,0.691612732707764,0.669,0.363,1.10467314895329e-32
"PAX5",1.20657681019621e-36,0.752509397774588,0.604,0.309,4.41619178299914e-32
"SH3BGRL3",1.52158523586058e-36,-0.391839975657247,1,0.997,5.56915412177331e-32
