"","sample","TCR_TRB_v_gene","count","total_count","proportion"
"1","1","TRBV10-1",3,657,0.0045662100456621
"2","1","TRBV10-2",3,657,0.0045662100456621
"3","1","TRBV10-3",8,657,0.0121765601217656
"4","1","TRBV11-1",3,657,0.0045662100456621
"5","1","TRBV11-2",14,657,0.0213089802130898
"6","1","TRBV11-3",4,657,0.0060882800608828
"7","1","TRBV12-3",20,657,0.030441400304414
"8","1","TRBV12-4",8,657,0.0121765601217656
"9","1","TRBV12-5",1,657,0.0015220700152207
"10","1","TRBV13",27,657,0.0410958904109589
"11","1","TRBV14",8,657,0.0121765601217656
"12","1","TRBV15",8,657,0.0121765601217656
"13","1","TRBV16",2,657,0.0030441400304414
"14","1","TRBV18",16,657,0.0243531202435312
"15","1","TRBV19",20,657,0.030441400304414
"16","1","TRBV2",28,657,0.0426179604261796
"17","1","TRBV20-1",59,657,0.0898021308980213
"18","1","TRBV24-1",2,657,0.0030441400304414
"19","1","TRBV25-1",6,657,0.0091324200913242
"20","1","TRBV27",29,657,0.0441400304414003
"21","1","TRBV28",30,657,0.045662100456621
"22","1","TRBV29-1",14,657,0.0213089802130898
"23","1","TRBV3-1",22,657,0.0334855403348554
"24","1","TRBV30",14,657,0.0213089802130898
"25","1","TRBV4-1",21,657,0.0319634703196347
"26","1","TRBV4-2",9,657,0.0136986301369863
"27","1","TRBV4-3",5,657,0.0076103500761035
"28","1","TRBV5-1",46,657,0.0700152207001522
"29","1","TRBV5-4",11,657,0.0167427701674277
"30","1","TRBV5-5",6,657,0.0091324200913242
"31","1","TRBV5-6",9,657,0.0136986301369863
"32","1","TRBV5-8",3,657,0.0045662100456621
"33","1","TRBV6-1",40,657,0.060882800608828
"34","1","TRBV6-2",14,657,0.0213089802130898
"35","1","TRBV6-4",9,657,0.0136986301369863
"36","1","TRBV6-5",28,657,0.0426179604261796
"37","1","TRBV6-6",9,657,0.0136986301369863
"38","1","TRBV7-2",27,657,0.0410958904109589
"39","1","TRBV7-3",13,657,0.0197869101978691
"40","1","TRBV7-6",8,657,0.0121765601217656
"41","1","TRBV7-8",11,657,0.0167427701674277
"42","1","TRBV7-9",17,657,0.0258751902587519
"43","1","TRBV9",22,657,0.0334855403348554
"44","2","TRBV10-1",1,217,0.00460829493087558
